,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
52,nbU-Mo-l32E,"['2 Numbari USA Wala', 'America wala song', 'Punjab to America Donkey', 'Usa donkey 2022', 'YouTube', 'america donkey', 'attack on ukraine', 'donkey america', 'india to amarica donkey', 'mexico border crossing to usa enter', 'nato vs russia', 'new punjabi songs', 'punjab', 'punjab news', 'punjabi songs', 'us vs russia', 'usa donkey', 'usa donkey border crossing', 'usa donkey video', 'youtube channel 2 numbari usa wala', 'America camp', 'us donkey', 'Panama jungel', 'us time', 'Manoj Dey', 'USA DONKEY VIDEO']",215194,2036,0,156
53,n8bScJnX_n0,"['india to usa donkey', 'usa donkey', 'usa donkey 2023', 'usa donkey new video', 'usa donkey border crossing', 'donkey usa', 'america donkey', 'donkey america', 'yt shorts', 'shorts', 'usa border crossing punjabi', 'Mexico border crossing to usa', 'Mexico to usa border crossing', 'Mexico to usa border crossing punjabi', 'Mexico border crossing entr usa', 'panama jungle donkey', 'panama jungle', 'serbia to Austria donkey', 'france to england donkey', 'italy donkey', 'india to canada', 'canada to india']",8391,342,0,1
54,0GGlP1Nthb0,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",2439,78,0,0
55,ewD2WoBJT4c,,1177,37,0,0
56,dg-XeDJUcms,,15863,479,0,39
57,DymBPxi57Cw,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",1052,46,0,0
58,sGmPtSZlAFY,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",177269,4413,0,3
59,l_0nSxs_7Fo,"['how to get america visa', 'donkey america punjabi', 'punjab to usa', 'donki america', 'donki usa', 'donkey punjab to usa', 'donkey punjab to canada', 'ilegal border crossing america maxico', 'indian to usa by donkey', 'donkey', 'america', 'india to usa', 'india to usa donkey', 'donkey for usa live 2', 'illegal border crossing in mexico', 'unan border crossing in boat.', 'usa border crossing', 'b1 visa', 'punjabi funny video', 'punjabi video', 'donki india to usa']",100959,1539,0,0
60,VS5ncqU3dow,,202555,2097,0,119
61,w31g_y7svP4,"['teach visa punjabi', 'usa ki donkey', 'usa ki donkey information punjabi', 'usa ki donkey 2020', 'usa ki donkey information hindi', 'us ki donkey', 'usa donkey 2022', 'usa donkey', 'usa donkey 2020', 'usa donkey process', 'usa ki donkey in punjabi', 'usa donkey agent in india', 'usa donkey 2021', 'america donkey map', 'donkey route to canada', 'america donkey 2021', 'donkey visa', 'india to mexico flight', 'Brazil Donkey flight', 'Donkey flight']",10546,381,0,84
62,KmThXoCiWQA,"['USA donkey', 'India travel', 'donkey to amarica', 'India to amarica', 'USA to India', 'do donkey videos', 'donkey life', 'USA border update', 'punama jangal video', 'unsa donkey 2022', 'usa donkey 2022 video']",730,16,0,2
63,B9rP1MdC_nw,,7338,1113,0,59
64,RM-aWZURetU,,746344,3631,0,266
65,fSyA2opagf4,,14447,225,0,3
