,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
71,FOIB22WNVws,,1125,51,0,3
72,6OA_sRZGxPo,,417,11,0,1
73,ewD2WoBJT4c,,1199,37,0,0
74,wcN5z0ZpW4k,,21874,1429,0,22
75,OdR_PFNcKsk,,805,52,0,0
76,zsVL1gdC_28,"['America border cross', 'Donkey', 'Mexico border', 'Mexico border to America', 'Donkey entry', 'Usa donkey', 'america donkey', 'donkey new video', 'donkey 2019', '2 nunber vich usa', 'america visa', 'usa visa', 'usa jana', 'usa donkey rahi', 'usa jan da rashta', 'usa donkey punjabi', 'usa punjabi donkey']",70425,2715,0,8
77,Db-6uD3lB6Q,"['mexico to usa donkey', 'india to usa donkey', 'america donkey', 'usa donkey visa', 'donkey panama to usa', 'america donkey visa', 'usa donkey 2018', 'panama jungle donkey #donkey #uniquezone', 'punjabi in panama jungle', 'india to usa', 'donkey', 'panama 2018', 'jungle', 'panama jungle', 'punjabi agent', 'agent dhokha', 'agent fraud', 'fraud', 'america border', 'mexico border', 'punjabi jail in jungle', 'donkey fraud', 'donkey na laeo', 'punjabi donkey in jungle']",491309,6947,0,107
78,ApYh-QY53J8,"['Illegal Mexico Border Crossing', 'USA illegal border crossing', 'Illegal immigrant', 'Illegal Visa Agents', 'Legal ways to get USA Visa', 'USA Illegal Entry', 'Mexico Border illegal crossing', 'Latest illegal mexico border crossing', 'mk films', 'usa donkey', 'fake agents', 'illegal immigration usa', 'illegal immigration in mexico', 'us visa for indians', 'how to get us visa', 'mexico border crossing', 'USA: Mexico Donkey Route', 'immigration', 'border', 'mexico', 'sts vlogs', 'us deportation punjabi', 'latest visa video']",728745,15244,0,752
79,ukctX-Hdot0,,55611,1367,0,231
80,iQUMp0zqTyI,,571059,23001,0,52
81,Qykh6SlDspE,['YouTube Capture'],1776269,43982,0,3743
82,I8IcXP35ETw,,214360,14117,0,18
83,669Z8Xbo6MM,,6182,251,0,0
84,iVLt8365UEA,"['America की donkey 🤣😂 #shorts #viral #short #youtubeshorts', '#shorts', '#short', '#ytshorts', '#ytshort', '#youtubeshorts', '#youtubeshort', 'shorts', 'short', 'ytshorts', 'ytshort', 'youtubeshorts', 'youtubeshort', 'donkey video', 'panama jungle', 'usa to india by road', 'canada to india', 'usa donkey border crossing', 'us canada border', 'serbia to italy donkey', 'panama jungle donkey', 'canada border', 'serbia donkey', 'canada donkey', 'mexico to usa border crossing', 'italy donkey', 'australia donkey', 'canada us border crossing']",22393,846,0,6
85,HQ86QPyn4yw,,3473,178,0,0
86,jBHHZt08zNo,"['usa donky kese lgate he', 'panama jungle', 'guatemala', 'usa entry without Visa', 'Mexico border']",125800,3191,0,185
87,HjjtSeHI59Y,"['punjabi vlogger', 'punjabi vlogs', 'punjabi vlog', 'punjabi couple', 'punjabi vlogger video', 'punjabi vlogger canada', 'punjabi', 'punjabi vlogger new video', 'punjabi songs', 'punjabi vlogger latest video', 'punjabi vlogging', 'best punjabi songs', 'punjabi vlogger roast', 'top 10 punjabi vloger', 'punjab', 'narula vlogs', 'punjabi youtuber', 'punjab vlog', 'kimmi pawan vlogs', 'mr mrs narula vlogs', 'top 10 punjabi vlogger', 'punjabi travel vlog', 'vlogs', 'punjabi vlogger exposed', 'punjabi vines']",118321,2841,0,45
88,xy6PDXqyJwk,"['swag media', 'ajay gill kurar', 'donki कैसे lgaye', 'donki america', 'america kaise jaye', 'donki vedio', 'america donki', 'panama jungle vedio', 'donki status', 'america ki donki', 'dusre deso ki donki', 'donki kya hai', 'america donki kya hai', 'america ki donki kaise lgaye', 'america tourist visa', 'donkey way to america', 'donkey in america', 'donkey of america', 'donkey', 'donkey vedio', 'donkey kaise lgaye']",725407,12604,0,435
89,GtLVYF_Ssg4,,14566,245,0,10
90,nIMz5oyLzd8,,146520,,0,32
91,Ik9Ove898-4,,40507,934,0,76
92,YPC9iEonxA8,,1865203,21311,0,855
93,XMpVCTAokuI,,7825,531,0,0
94,8lq4O-Q-pg8,,42,3,0,0
95,HhNJjNGSxpE,"['usa donkey', 'usa border illegal crossing', 'usa visa', 'usa pr', 'how to enter in usa without visa', 'canada visa process', 'canada pr', 'usa work permit', 'usa and mexico border', 'donkey route', 'usa student visa', 'canada work permit', 'canada student visa', 'vfs jobs', 'jobs in visa', 'visa business', 'how to start visa business', 'schengen visa', 'australia visa', 'australia pr', 'australia student visa', 'usa 10 years visa', 'the tourism school', 'mayank narang', 'How to get usa green card', 'usa citizenship']",460422,8799,0,470
96,pgy56YhyEDg,"['USA Ki Danki', 'Panama Urdu', 'Colombia Urdu', 'Jungle', 'Darien Gap Urdu', 'Darien Gap Hindi', 'Darien Gap', 'Jungle Story In Urdu', 'تارکین وطن کی کہانیاں', 'Tarkeen e Watan Ki Kahaniyan Episode 5', 'Migrants Urdu', 'USA Urdu', 'danki', 'India to USA', 'Pakistan to USA', 'Urdu Documentary', 'USA Ka Safar']",517589,8782,0,165
97,nmS_H19deOU,,49542,1515,0,128
98,icPieLLruVM,,2625,135,0,0
99,3-svICl-Xas,"['donkey america border', 'donkey america punjabi', 'donkey america punjabi death', 'donker', 'Latest Video Mexico To America Donkey', 'usa donkey', 'New America Donkey', 'america donkey', 'donkey mexico to america', 'latest donkey video', 'women donkey for usa']",715839,7865,0,146
100,C7Ycu8yMntQ,,45,4,0,0
101,6UHkB_QGriU,"['USA lifestyle', 'Donkey USA lifestyle', 'USA donkey update', 'Panama jungle', 'Problem in donkey', 'Mafia in donkey', 'India to USA update', 'Indian people in USA', 'Ashu ror', 'Kothli khota sikka', 'Khota sikka video', 'Ashu ror video', '2 number wale', 'Viral video', 'Video viral']",68156,1796,0,125
102,7hFydKG-18k,"['USA ki Donkey', 'PAKISTANI TO USA KI DONKEY', 'pakistani & indian go to usa by DONKEY', 'usa ki donkey information in urdu and hindi', 'USA ki Donkey / PAKISTANI TO USA KI DONKEY', 'Haiti To USA Donky For Pakistani', 'Brazil visa for Pakistan', 'Brazil and Usa ki donkey', 'Illegal immigrant from Pakistan', 'Guatemala to usa illegal', 'teach visa', 'visa teach', 'hassan teach visa', 'usa ki donkey', 'usa ki donkey information hindi', 'mexico to usa donkey', 'america ki donkey', 'usa donkey']",42979,692,0,44
103,E-dNjD4DlJQ,,717,40,0,0
104,akNkFcC8Psc,"['donkey route to usa from india', 'donkey panama to usa', 'donkey pakistan to usa', 'bolivia to usa donkey', 'brazil to usa donkey', 'colombia to usa donkey', 'europe to usa donkey', 'england to usa donkey', 'donkey usa girl', 'donkey in usa punjabi', 'india to usa donkey map', 'donkey usa mexico border', 'donkey usa new video', 'serbia to usa donkey', 'spain to usa donkey', 'turkey to usa donkey', 'usa donkey haryana to usa', 'donkey video usa', 'vinu lifestyle']",167,4,0,0
105,Y-CTxCYjbGs,,67060,1875,0,64
106,aQU1XCjlxi0,"['donkey american', 'donkey american pronunciation', 'donki kya hai', 'donky kya hai', 'america donkey visa', 'america donkey jaw lyrics', 'America kaise Jaye', 'donki movie', 'panama jungle', 'america donkey map', 'donkey american slang', 'donkey system in america', 'south america donkey love', 'donkey to america']",1826697,45214,0,1655
107,ren_oGqeHGQ,,1782,63,0,1
108,GR_YB9tQtNs,"['India to usa donkey', 'usa donkey', 'usa donkey border crossing', 'usa donkey 2022', 'usa donkey new video', 'America donkey', 'donkey America', 'Panama jungle donkey', 'Panama jungle', 'usa donkey full details', 'Mexico to usa border crossing', 'Mexico border crossing to usa', 'usa border crossing punjabi', 'Mexico to usa border crossing punjabi', 'today Mexico border crossing entr usa', 'serbia to Austria donkey', 'France to England donkey', 'shorts', 'yt shorts', 'donkey update 2.0', 'sidhu moose wala new song']",60369,2637,0,11
109,43L_hKERoG0,"['#2numbriusawala', '#America donkey best agent', '#America jane ke liye kya kare', '#India to america ticket price', '#India to usa flight journey', '#India to usa travel', '#Mexico', '#americadonkey', '#bordercrossing', '#deswalhr31', '#mexicoborder', '#nishudeswalhr31', '#panamacanal', '#panamadonkey', '#panamajungle', '#panamajunglevideo', '#texasborder', '#usaborder', '#usadonkey', '#usadonkeynewupdate', '#usakaisejaye', '#usamaigreencardkaisemilega', '#usamaiprkaisemilegi', '#usatour', '#usawale', 'india to usa donkey', 'usa donkey', 'usa donkey 2022']",249,11,0,0
110,3wpwtZ3gxNk,"['usa donkey 2022', 'usa donkey', 'usa ki donkey', 'usa donkey border crossing', 'USA ki Donkey', 'LATEST USA DONKEY UPDATE', 'USA New Donkey', 'usa ki donkey information punjabi', 'america ki donkey', 'mexico to usa ki donkey in punjabi', 'teach visa punjabi', 'punjab to usa donkey', 'punjab to usa', 'india to usa donkey in punjabi', 'donkey in punjabi', 'donkey usa ki', 'punjab to usa ki donkay', 'punjabi in usa', 'usa ki donkey 2022', 'usa ki donkey information hindi', 'donkey flight']",7633,202,0,41
111,qKTrIilH4wY,"['Refuses life in Germany', 'Refusse', 'Refusse life usa', 'Study in germany', 'Refusse news', 'Asylum in germany', 'Asylum in europe', 'Asulym in usa', 'India to usa', 'India to europe', 'Greece to germany', 'India to America donkey']",268702,4654,0,153
112,oEmkEjGZFuI,,58756,1780,0,81
113,gDktIipAhPs,,59,5,0,1
114,OLBULzghGyY,,21422,657,0,1
115,AE3bYUb5awI,"['india to usa donkey', 'donkey america', 'usa donkey', 'america donkey', 'usa donkey border crossing', 'donkey usa', 'mexico border crossing to usa punjabi', 'mexico border', 'usa donkey haryana', 'usa donkey status', 'usa donkey real video', 'Gaurav maan', 'usa border wall', 'panama jungle video', 'panama jungle real video', 'panama jungle full video', 'usa donkey haryana to usa', 'india to usa donkey route', 'usa ki donkey', 'haryana to usa donkey', 'life in usa for indians', 'Donkey flight rampant in Punjab']",521,13,0,20
116,Px5YokhrvAw,"['Panama', 'Panama Jungle', 'Panama forest', 'jungle', 'forest', 'jungle news', 'America donki', 'USA maxico border', 'India usa maxico', 'maxico border', 'donki', 'Aaja Mexico Challiye', 'Panama forest dead bodies', 'Darien gap', 'maxico to America', 'Punjab to America', 'America', 'USA', 'maxico', 'donki to America', 'Colombia', 'Panama Jungle donkey', 'rahasya', 'rainforest', 'unsolved mystery', 'Panama forest true story', 'Panama Jungle donkey usa', 'donki kya hota hai?', 'Panama Jungle Mystery', 'jangal news hindi', 'gyan ki pathshala']",159006,2577,0,52
117,pFWM1BXBy1I,"['donkey', 'usa', 'america', 'india', 'india to usa', 'india to america', 'india to usa donkey', 'india to usa path', 'india usa flight', 'donkey live 2', 'donkey for usa live 2', 'ਅਮਰੀਕਾ', 'usa new donkey video', 'donkey america punjabi', 'punjab to usa', 'punjabi donki', 'donki america', 'donki usa', 'donki usa punjabi', 'donki india to usa', 'donkey punjab to usa', 'donkey punjabi munde', 'donkey punjab to canada', 'donkey punjabi song', 'donkey mexico to usa', 'how to get america visa', 'punjab to america donkey', 'amit bhadana']",448210,8104,0,248
118,x0DttuvnSdI,"['usa donkey', 'usa donkey 2022', 'usa donkey new video', 'usa border crossing punjabi', 'Mexico to usa border crossing', 'Mexico border crossing to usa', 'Donkey usa', 'usa donkey update', 'America Donkey', 'Donkey America', 'Italy to America Donkey', 'Serbia to Austria Donkey', 'Serbia Donkey', 'America Donkey new video', 'yt shorts', 'shorts video', 'shorts feed', 'short video', 'shorts', 'Panama Donkey', 'Panama jungle entry', 'Panama jungle Crossing punjabi', 'Panama to usa donkey', 'India to usa donkey']",408033,10187,0,31
119,ISr5DsbUBY0,"['usa illegal entry', 'usa illegal indian', 'donkey usa illegal', 'usa punjabi illegal', 'india to usa illegal', 'enter usa illegally', 'illegal entry in canada', 'illegal entry in portugal', 'illegal entry in europe', 'illegal entry in usa hindi', 'canada to usa illegal entry', 'illegal crossing from canada to usa', 'usa immigration', 'canada immigration', 'latest immigration updates', 'usa donkey', 'usa visa', 'mexico border crossing', 'mk vlogs', 'mann singh']",32832,814,0,44
